"Yes, module is installed","Yes, module is installed"
"No, module is not installed","No, module is not installed"
"Please update Amasty Base module. Re-upload it and replace all the files.","Please update Amasty Base module. Re-upload it and replace all the files."
"Enable stockstatus-graphql module to activate GraphQl and Custom Stock Status. Please, run the following command in the SSH: composer require amasty/stockstatus-graphql","Enable stockstatus-graphql module to activate GraphQl and Custom Stock Status. Please, run the following command in the SSH: composer require amasty/stockstatus-graphql"
"In stock","In stock"
"Out of stock","Out of stock"
"No Backorders (System Value - processed automatically)","No Backorders (System Value - processed automatically)"
"Allow Qty Below 0 (System Value - processed automatically)","Allow Qty Below 0 (System Value - processed automatically)"
"Allow Qty Below 0 and Notify Customer (System Value - processed automatically)","Allow Qty Below 0 and Notify Customer (System Value - processed automatically)"
Choose...,Choose...
"No, Magento logic","No, Magento logic"
"Yes, Out of stock options selectable","Yes, Out of stock options selectable"
"Yes, Out of stock options selectable and crossed-out","Yes, Out of stock options selectable and crossed-out"
"Manage Icons","Manage Icons"
"Quantity Range Statuses","Quantity Range Statuses"
"Out of Stock","Out of Stock"
"You can use the following variables: {qty-threshold}, {qty}, {tomorrow}, {day-after-tomorrow}, {yesterday}, {expected_date} or any product attributes.","You can use the following variables: {qty-threshold}, {qty}, {tomorrow}, {day-after-tomorrow}, {yesterday}, {expected_date} or any product attributes."
"Status Label","Status Label"
"Upload icon image","Upload icon image"
Preview,Preview
Delete,Delete
[none],[none]
"Manage Quantity Ranges","Manage Quantity Ranges"
"Quantity From","Quantity From"
"Quantity To","Quantity To"
"Custom Stock Status","Custom Stock Status"
"Quantity Range Product Group","Quantity Range Product Group"
Remove,Remove
"Add New Range Status","Add New Range Status"
Information,Information
General,General
"Display Custom Stock Status for `Out of Stock` Items Only","Display Custom Stock Status for `Out of Stock` Items Only"
"If set to `No`, custom stock status will be visible both for `in stock` and `out of stock` items.","If set to `No`, custom stock status will be visible both for `in stock` and `out of stock` items."
"Display Default Stock Status with Custom Status","Display Default Stock Status with Custom Status"
"Use Quantity Ranges Based Statuses Only","Use Quantity Ranges Based Statuses Only"
"If set to `No`, custom stock status set for product will show up if no range status found for particular product.","If set to `No`, custom stock status set for product will show up if no range status found for particular product."
"Activate Product Groups for Quantity Range Statuses","Activate Product Groups for Quantity Range Statuses"
"Use Out of Stock Threshold Value for Quantity Ranges","Use Out of Stock Threshold Value for Quantity Ranges"
"Display Icon Only (No Status Text)","Display Icon Only (No Status Text)"
"Display only icon and no custom status text on the product view and product list pages.","Display only icon and no custom status text on the product view and product list pages."
"Display Settings","Display Settings"
"Display Custom Stock Status on Product List Page","Display Custom Stock Status on Product List Page"
"Display Custom Stock Status in Shopping Cart","Display Custom Stock Status in Shopping Cart"
"Will display custom stock status for items in shopping cart.","Will display custom stock status for items in shopping cart."
"Show Custom Status in Order Confirmation Email","Show Custom Status in Order Confirmation Email"
"Info Link","Info Link"
"Show Info Link","Show Info Link"
"The information link will lead to any CMS page and will be displayed below the Custom Stock Status","The information link will lead to any CMS page and will be displayed below the Custom Stock Status"
"Info Link Text","Info Link Text"
"CMS Page","CMS Page"
"Expected Date","Expected Date"
"Use Expected Date","Use Expected Date"
"Expected Date Format","Expected Date Format"
"Hide Expired Expected Dates","Hide Expired Expected Dates"
"Configurable Products","Configurable Products"
"Show Out of Stock Configurable Attributes","Show Out of Stock Configurable Attributes"
"Change Default Configurable Product Status","Change Default Configurable Product Status"
"Enable 'Back In Stock' Alert for Out of Stock Configurable Items","Enable 'Back In Stock' Alert for Out of Stock Configurable Items"
"It notifies users when the product comes back to stock. To enable this feature install Out of Stock Notification plugin. See more details <a target=""_blank"" href=""https://amasty.com/out-of-stock-notification-for-magento-2.html?utm_source=extension&utm_medium=backend&utm_campaign=swat_to_osn_m2"">here</a>","It notifies users when the product comes back to stock. To enable this feature install Out of Stock Notification plugin. See more details <a target=""_blank"" href=""https://amasty.com/out-of-stock-notification-for-magento-2.html?utm_source=extension&utm_medium=backend&utm_campaign=swat_to_osn_m2"">here</a>"
